value,EncryptionTime(ms),EncryptedSize(KB)
3,4.257,91.156
3,2.378,91.229
4,2.215,91.135
2,4.231,91.154
3,11.611,91.236
5,3.510,91.223
4,3.724,91.185
4,2.364,91.251
5,3.321,91.132
5,3.574,91.210
4,5.616,91.225
4,2.421,91.194
3,2.345,91.198
3,16.888,91.069
4,2.656,91.184
5,2.680,91.255
5,5.411,91.070
5,2.793,91.221
5,2.371,91.210
4,4.133,91.216
4,2.571,91.273
3,2.349,91.106
4,7.214,91.129
5,3.646,91.161
5,3.288,91.121
4,4.042,91.252
5,2.343,91.186
4,4.078,91.216
3,3.663,91.242
5,2.855,91.201
3,2.315,91.211
4,2.331,91.208
4,3.813,91.131
3,2.677,91.201
4,2.461,91.213
5,4.955,91.213
5,2.760,91.153
3,2.391,91.228
4,5.885,91.246
5,3.670,91.038
5,3.120,91.037
3,4.961,91.156
5,4.897,91.223
4,3.463,91.179
4,4.866,91.235
5,3.907,91.109
3,2.781,91.167
4,3.566,91.199
4,2.531,91.170
4,4.287,91.225
4,3.296,91.276
5,4.500,91.118
4,8.006,91.161
4,4.748,91.185
4,5.634,91.156
4,2.534,91.130
4,3.927,91.166
4,9.381,91.250
4,4.351,91.207
4,3.877,91.180
4,4.728,91.204
4,3.351,91.200
4,3.782,91.188
4,4.358,91.176
4,4.117,91.240
4,4.169,91.275
4,3.809,91.183
4,3.862,91.246
4,2.536,91.126
4,2.857,91.192
4,2.549,91.168
4,2.307,91.216
3,3.219,91.208
4,4.551,91.080
4,2.391,91.176
4,3.420,91.141
5,6.232,91.136
4,2.436,91.094
3,2.421,91.251
5,4.857,91.097
5,2.493,91.152
4,2.363,91.152
4,4.496,91.111
4,2.297,91.150
5,2.902,91.154
4,4.956,91.101
4,2.764,91.180
4,4.411,91.177
5,8.248,91.126
4,3.230,91.222
5,6.979,91.217
4,3.506,91.119
4,6.156,91.221
4,3.889,91.142
4,2.863,91.229
4,15.096,91.184
4,4.025,91.183
4,2.511,91.291
5,4.418,91.164
4,4.027,91.174
5,2.384,91.205
4,4.035,91.164
5,2.397,91.141
3,4.323,91.105
4,3.810,91.132
5,2.755,91.192
5,2.826,91.160
5,3.447,91.180
4,3.724,91.193
3,2.861,91.167
4,2.416,91.188
4,2.410,91.220
5,2.280,91.218
4,3.940,91.296
4,5.849,91.159
4,3.473,91.196
5,2.300,91.198
5,5.051,91.139
3,2.318,91.094
5,2.466,91.101
3,4.618,91.178
4,2.478,91.156
2,2.923,91.159
4,2.726,91.168
5,2.332,91.180
4,2.352,91.279
4,3.995,91.106
5,2.413,91.156
4,4.343,91.167
3,2.680,91.162
3,3.896,91.171
4,2.438,91.109
4,2.768,91.147
5,3.944,91.148
3,2.309,91.251
4,2.364,91.116
4,5.072,91.159
4,2.365,91.173
4,2.751,91.101
4,3.848,91.232
5,2.633,91.104
5,2.847,91.152
3,4.551,91.193
4,2.497,91.224
4,2.404,91.225
4,4.190,91.209
4,2.347,91.161
5,3.831,91.155
3,3.946,91.279
3,3.780,91.142
4,2.436,91.175
4,7.970,91.188
4,2.289,91.285
4,2.430,91.183
4,2.898,91.108
4,5.027,91.077
4,2.580,91.162
5,2.295,91.140
4,4.714,91.202
4,4.082,91.192
4,2.841,91.217
4,4.637,91.236
4,2.296,91.134
3,2.338,91.125
4,3.864,91.132
3,2.696,91.195
4,2.277,91.146
4,4.274,91.102
4,2.287,91.233
4,3.031,91.286
4,3.690,91.200
5,2.305,91.189
4,3.016,91.182
2,2.353,91.138
4,2.371,91.173
4,2.481,91.161
3,2.210,91.063
4,5.066,91.109
4,2.789,91.184
4,3.503,91.158
4,4.958,91.251
4,4.312,91.128
4,3.891,91.162
4,3.834,91.189
3,2.297,91.186
4,2.293,91.157
2,4.363,91.161
4,2.465,91.173
3,2.298,91.086
4,4.296,91.141
3,2.475,91.134
3,2.362,91.173
4,4.843,91.169
3,2.742,91.167
4,2.277,91.269
3,2.377,91.198
5,4.406,91.207
4,4.003,91.293
4,2.643,91.174
4,4.551,91.123
5,2.526,91.256
4,2.569,91.138
2,4.919,91.188
4,3.565,91.123
5,2.262,91.143
4,3.561,91.217
5,2.427,91.242
4,4.160,91.185
4,5.463,91.288
4,4.192,91.059
3,2.256,91.219
4,4.763,91.212
3,2.385,91.146
4,2.390,91.155
4,2.730,91.083
4,2.669,91.231
3,2.505,91.225
5,2.471,91.177
2,4.730,91.168
5,4.681,91.150
4,13.378,91.211
4,3.714,91.228
5,2.579,91.216
4,5.198,91.254
4,4.949,91.181
4,2.214,91.148
5,2.283,91.308
4,3.925,91.192
5,2.474,91.129
4,2.269,91.177
4,4.842,91.146
4,2.455,91.218
4,2.744,91.165
4,3.804,91.187
2,2.295,91.148
4,2.915,91.159
3,3.350,91.165
5,4.483,91.118
5,3.728,91.147
4,2.439,91.252
3,5.395,91.113
3,2.448,91.213
2,2.286,91.146
5,4.647,91.131
1,4.036,91.178
5,2.380,91.196
3,5.231,91.207
4,2.387,91.196
3,2.431,91.153
4,5.286,91.133
5,4.366,91.128
4,2.810,91.148
4,3.369,91.159
3,2.479,91.166
4,3.926,91.203
4,2.307,91.302
4,2.367,91.158
5,2.303,91.135
4,2.227,91.181
5,4.043,91.146
4,2.469,91.176
4,3.418,91.188
2,5.069,91.154
4,2.719,91.176
5,4.485,91.189
3,4.618,91.172
3,2.478,91.089
5,2.611,91.102
4,3.677,91.153
4,3.960,91.142
2,2.655,91.196
4,4.152,91.123
4,3.737,91.303
4,2.360,91.191
4,4.232,91.148
5,2.284,91.148
4,2.262,91.203
4,2.709,91.206
3,4.369,91.271
3,2.328,91.253
4,2.387,91.153
5,3.598,91.274
3,2.917,91.126
4,2.270,91.146
4,5.314,91.152
5,3.142,91.318
4,4.915,91.155
4,4.580,91.213
3,2.741,91.129
5,2.261,91.202
4,4.533,91.153
4,3.374,91.247
4,4.314,91.188
5,2.285,91.186
3,3.259,91.133
3,3.844,91.224
5,2.677,91.186
3,2.351,91.144
4,4.005,91.145
3,2.263,91.157
4,2.261,91.190
3,2.466,91.110
4,2.323,91.201
4,4.827,91.190
4,2.306,91.201
4,2.236,91.188
5,5.351,91.154
2,2.589,91.232
4,2.271,91.183
4,3.942,91.265
4,3.755,91.099
3,4.028,91.200
4,4.246,91.190
5,2.324,91.260
4,2.289,91.114
3,3.995,91.175
4,2.258,91.221
4,2.305,91.049
3,2.372,91.166
4,2.415,91.224
4,2.793,91.239
4,2.822,91.193
4,4.035,91.160
4,4.033,91.147
4,3.669,91.258
4,4.785,91.198
3,2.820,91.194
4,2.268,91.166
4,3.769,91.185
4,2.673,91.228
4,2.209,91.209
4,4.632,91.193
3,2.328,91.184
3,2.310,91.243
4,4.307,91.181
5,4.150,91.142
4,2.527,91.314
2,5.620,91.231
5,2.325,91.186
4,2.865,91.250
2,2.393,91.159
3,10.999,91.166
5,2.218,91.212
4,2.304,91.161
4,4.799,91.195
2,2.497,91.203
4,2.339,91.204
4,4.683,91.217
4,2.429,91.153
4,3.799,91.186
4,2.889,91.164
4,3.999,91.254
4,2.286,91.186
5,3.830,91.182
4,3.379,91.128
4,2.281,91.224
4,3.737,91.125
4,2.286,91.194
5,2.226,91.150
4,2.378,91.224
4,4.032,91.257
4,2.855,91.199
5,3.605,91.207
4,4.931,91.266
5,2.716,91.199
4,2.323,91.217
4,3.533,91.223
4,2.448,91.214
4,2.685,91.282
4,4.433,91.188
3,4.387,91.217
3,2.533,91.185
4,4.357,91.152
5,2.433,91.167
4,2.559,91.184
5,4.613,91.276
2,3.524,91.196
4,3.904,91.214
4,4.282,91.107
4,6.657,91.189
4,2.400,91.148
3,4.101,91.116
4,2.385,91.205
4,2.398,91.194
4,2.944,91.172
3,4.747,91.189
4,2.413,91.116
5,2.309,91.163
4,3.916,91.176
4,2.441,91.247
4,2.245,91.247
5,4.757,91.177
4,2.292,91.170
4,2.376,91.123
4,3.545,91.115
5,2.413,91.166
5,2.639,91.146
4,4.236,91.145
5,2.516,91.193
5,3.419,91.155
4,3.897,91.189
2,2.357,91.127
3,2.451,91.122
5,2.325,91.224
3,4.724,91.202
4,2.350,91.153
3,2.263,91.250
5,4.772,91.117
4,2.226,91.144
4,2.340,91.218
4,12.199,91.229
5,2.760,91.173
5,4.523,91.202
3,4.045,91.267
3,2.349,91.208
2,2.757,91.327
4,4.039,91.231
3,2.274,91.158
4,2.883,91.218
2,4.019,91.189
4,2.735,91.217
4,2.994,91.240
4,2.629,91.082
4,2.316,91.236
3,2.279,91.228
4,2.462,91.164
3,3.606,91.199
4,2.486,91.109
4,2.510,91.204
4,4.728,91.308
4,3.756,91.206
4,2.589,91.208
5,5.705,91.197
4,4.066,91.161
4,4.136,91.077
5,4.016,91.195
4,2.535,91.204
4,2.474,91.089
4,4.049,91.177
4,2.292,91.197
3,2.518,91.206
3,5.185,91.162
4,2.412,91.307
5,2.949,91.127
4,2.549,91.126
4,2.379,91.062
4,2.406,91.175
4,4.271,91.156
4,5.402,91.198
4,2.659,91.198
4,2.564,91.101
3,5.192,91.199
4,2.400,91.213
4,3.102,91.185
4,3.885,91.204
4,3.198,91.232
3,3.439,91.171
5,5.347,91.145
5,2.500,91.208
4,2.776,91.172
4,4.074,91.214
4,3.955,91.183
4,3.849,91.179
5,2.357,91.165
2,2.502,91.149
4,2.613,91.087
4,2.352,91.192
4,4.605,91.188
4,3.149,91.182
4,2.364,91.219
3,4.809,91.180
3,2.310,91.135
4,2.758,91.235
4,4.814,91.161
5,2.293,91.271
4,3.835,91.277
3,4.039,91.216
4,2.843,91.167
4,3.896,91.182
5,5.573,91.168
5,2.850,91.146
4,2.290,91.173
4,4.289,91.228
4,2.317,91.191
4,3.937,91.180
2,2.537,91.201
4,2.324,91.334
4,2.272,91.277
5,4.466,91.119
4,4.676,91.120
4,2.304,91.189
3,2.347,91.135
4,3.897,91.112
4,3.144,91.201
4,2.368,91.240
5,3.711,91.189
3,2.328,91.099
2,2.253,91.241
4,3.561,91.182
4,2.914,91.237
4,2.401,91.252
3,4.428,91.129
4,3.963,91.104
4,2.339,91.226
2,3.731,91.221
4,2.399,91.152
3,3.717,91.260
3,2.207,91.130
4,4.829,91.173
4,3.219,91.108
4,3.503,91.158
3,5.025,91.271
4,10.005,91.087
4,2.376,91.271
4,4.286,91.258
4,2.271,91.194
3,2.225,91.152
4,4.351,91.181
4,2.487,91.214
5,2.323,91.205
4,4.412,91.104
3,2.269,91.141
4,2.722,91.116
4,3.672,91.107
4,2.329,91.234
4,2.455,91.222
5,4.134,91.183
2,3.557,91.122
4,4.215,91.177
4,2.425,91.224
5,4.594,91.202
4,2.312,91.230
4,2.691,91.119
3,4.689,91.167
4,2.239,91.198
4,2.296,91.197
4,4.041,91.080
4,2.378,91.249
5,2.768,91.158
3,4.053,91.295
4,2.550,91.129
4,2.337,91.166
3,3.939,91.179
3,2.301,91.196
3,2.432,91.167
5,3.423,91.153
4,2.230,91.220
4,3.970,91.166
4,2.305,91.117
5,2.379,91.169
4,2.337,91.157
4,2.687,91.181
4,5.231,91.123
4,3.935,91.285
3,2.365,91.176
5,4.630,91.178
3,3.751,91.132
4,3.707,91.159
3,5.066,91.222
4,2.350,91.138
3,2.420,91.137
4,3.932,91.209
4,2.613,91.202
4,6.051,91.177
3,4.641,91.164
4,2.741,91.126
3,2.227,91.257
3,4.065,91.199
4,2.351,91.239
5,2.411,91.233
3,2.390,91.253
3,4.708,91.145
4,2.371,91.201
2,3.946,91.218
2,4.550,91.141
4,2.487,91.210
4,2.391,91.155
4,4.865,91.237
3,2.385,91.146
1,3.442,91.230
3,8.983,91.304
3,2.233,91.185
3,2.894,91.127
4,4.220,91.252
4,2.552,91.131
4,2.287,91.137
3,3.906,91.250
1,2.250,91.077
5,2.474,91.179
4,2.497,91.169
3,2.277,91.243
4,3.706,91.148
4,2.701,91.146
2,3.916,91.191
2,2.382,91.192
3,2.777,91.190
4,4.891,91.281
4,2.281,91.177
4,2.827,91.241
2,3.463,91.243
4,2.361,91.167
3,2.490,91.230
5,4.263,91.226
3,2.232,91.185
4,2.579,91.079
4,3.720,91.204
4,2.475,91.126
5,2.545,91.147
4,6.124,91.166
2,2.551,91.234
3,2.565,91.175
2,2.622,91.228
3,3.151,91.157
4,2.681,91.149
4,3.270,91.212
3,5.347,91.142
3,2.313,91.241
5,3.955,91.230
3,4.847,91.257
3,2.584,91.207
2,2.319,91.120
2,4.547,91.196
2,3.427,91.197
2,2.565,91.226
2,4.388,91.159
4,2.305,91.210
4,2.224,91.140
3,3.888,91.168
2,2.415,91.117
2,2.443,91.232
2,2.696,91.135
2,5.804,91.215
3,2.642,91.221
2,4.080,91.143
4,5.132,91.185
4,4.032,91.200
4,3.301,91.215
2,5.158,91.166
4,2.503,91.132
1,2.897,91.218
2,4.208,91.199
2,2.502,91.117
2,2.876,91.174
3,6.476,91.272
2,2.720,91.178
2,3.057,91.228
2,3.785,91.113
2,2.401,91.188
2,3.277,91.208
3,4.281,91.151
2,2.511,91.192
2,2.546,91.176
2,2.643,91.178
2,2.576,91.173
1,2.373,91.249
2,2.473,91.181
2,5.270,91.134
2,6.917,91.230
2,3.560,91.171
1,4.793,91.206
2,4.014,91.129
3,4.387,91.203
1,5.152,91.148
5,2.392,91.153
1,2.648,91.191
1,5.411,91.152
1,3.460,91.218
1,2.389,91.119
2,3.513,91.162
2,2.535,91.249
1,2.281,91.161
1,2.542,91.272
2,2.331,91.214
1,2.195,91.259
3,4.037,91.130
3,5.020,91.167
2,2.355,91.286
3,2.592,91.121
1,3.635,91.139
3,2.368,91.163
2,4.129,91.197
3,5.350,91.088
1,2.192,91.250
1,3.747,91.181
1,5.943,91.240
1,2.274,91.250
2,2.234,91.154
1,4.433,91.284
1,2.432,91.101
1,2.397,91.186
2,3.820,91.249
1,2.234,91.115
1,2.237,91.161
1,2.293,91.212
1,4.016,91.306
2,2.251,91.171
2,2.295,91.171
1,4.616,91.119
2,2.230,91.185
1,2.757,91.226
2,10.845,91.196
1,2.240,91.222
1,2.273,91.205
1,6.230,91.257
1,2.313,91.209
1,2.194,91.165
3,2.838,91.202
1,2.406,91.170
2,2.241,91.109
1,2.451,91.217
2,2.651,91.134
1,2.207,91.260
1,2.256,91.188
1,2.276,91.186
1,2.351,91.177
1,2.330,91.211
1,2.287,91.210
2,2.236,91.195
1,2.507,91.147
1,5.063,91.090
1,2.192,91.148
1,2.339,91.139
1,5.400,91.139
1,3.351,91.176
1,2.467,91.268
1,4.405,91.206
1,3.151,91.238
1,2.336,91.220
1,2.283,91.079
1,2.547,91.139
1,2.269,91.102
1,2.436,91.137
1,2.575,91.152
1,2.640,91.233
2,2.284,91.182
1,2.479,91.156
2,2.485,91.212
1,3.848,91.046
1,6.420,91.228
2,2.974,91.203
2,3.457,91.200
1,6.003,91.249
1,2.378,91.171
1,2.312,91.146
1,5.991,91.188
1,3.860,91.158
2,2.570,91.084
2,2.550,91.131
2,4.548,91.128
2,3.793,91.219
1,2.252,91.163
1,2.431,91.216
2,3.948,91.252
1,2.298,91.185
2,2.304,91.176
1,2.253,91.196
2,2.812,91.182
1,2.326,91.200
1,3.978,91.135
1,2.567,91.079
1,6.066,91.174
1,2.436,91.116
1,2.929,91.122
1,5.475,91.143
1,4.024,91.190
2,3.855,91.197
2,4.666,91.245
1,3.974,91.147
1,2.455,91.133
1,3.216,91.201
1,2.351,91.188
1,2.482,91.058
1,4.017,91.274